County Name,cntyname
MCD Name,mcdname
VTD Name,vtdname
Name,name
Correct STF,stf
PSID,psid
JP Districts,cdnew
PA5 Districts,cd2016
White Alone,white
Voting-Age White Alone,whiteva
2016 President - Dem,us.pres.2016.d
2016 President - Rep,us.pres.2016.r
2016 US Senate - Dem,us.sen.2016.d
2016 US Senate - Rep,us.sen.2016.r
2016 US House - Dem,us.hse.2016.d
2016 US House - Rep,us.hse.2016.r
2016 Attorney General - Dem,pa.ag.2016.d
2016 Attorney General - Rep,pa.ag.2016.r
2016 Auditor - Dem,pa.aud.2016.d
2016 Auditor - Rep,pa.aud.2016.r
2016 Treasurer - Dem,pa.trs.2016.d
2016 Treasurer - Rep,pa.trs.2016.r
2016 State Senate - Dem,pa.sen.2016.d
2016 State Senate - Rep,pa.sen.2016.r
2016 State House - Dem,pa.hse.2016.d
2016 State House - Rep,pa.hse.2016.r
